shipment_id,site_id,timestamp,temperature_c,humidity_pct,gps_lat,gps_lon,excursion_flag
SHP-001,SITE-001,2025-07-01T00:00:00,6.5,56.4,50.1192,9.9329,0
SHP-001,SITE-001,2025-07-01T08:00:00,4.53,58.4,50.2199,10.034,0
SHP-001,SITE-001,2025-07-01T16:00:00,7.31,66.3,49.9126,10.2828,0
SHP-001,SITE-001,2025-07-02T00:00:00,6.92,65.7,50.2755,10.2854,0
SHP-001,SITE-001,2025-07-02T08:00:00,4.46,42.7,50.3059,10.4005,0
SHP-001,SITE-001,2025-07-02T16:00:00,4.44,56.6,50.456,10.2828,0
SHP-001,SITE-001,2025-07-03T00:00:00,6.49,52.1,50.486,10.7762,0
SHP-001,SITE-001,2025-07-03T08:00:00,7.14,53.4,50.5395,10.5738,0
SHP-001,SITE-001,2025-07-03T16:00:00,4.91,51.1,50.466,10.7361,0
SHP-001,SITE-001,2025-07-04T00:00:00,5.05,55.3,50.829,10.8282,0
SHP-001,SITE-001,2025-07-04T08:00:00,4.28,49.2,50.6695,11.0055,0
SHP-001,SITE-001,2025-07-04T16:00:00,5.32,64.8,50.6471,10.9512,0
SHP-001,SITE-001,2025-07-05T00:00:00,4.53,50.4,50.7457,11.1441,0
SHP-001,SITE-001,2025-07-05T08:00:00,5.66,47.9,50.723,11.4365,0
SHP-001,SITE-001,2025-07-05T16:00:00,4.68,58.6,50.9509,11.3562,0
SHP-001,SITE-001,2025-07-06T00:00:00,30.26,50.0,51.152,11.6704,1
SHP-001,SITE-001,2025-07-06T08:00:00,6.22,71.4,50.9932,11.538,0
SHP-001,SITE-001,2025-07-06T16:00:00,3.51,52.3,51.0685,11.6717,0
SHP-001,SITE-001,2025-07-07T00:00:00,5.23,59.8,51.1919,11.9235,0
SHP-001,SITE-001,2025-07-07T08:00:00,4.54,43.3,51.3982,11.7778,0
SHP-001,SITE-001,2025-07-07T16:00:00,7.49,52.0,51.4184,11.9484,0
SHP-001,SITE-001,2025-07-08T00:00:00,4.65,77.7,51.3719,12.136,0
SHP-001,SITE-001,2025-07-08T08:00:00,7.08,38.1,51.5522,12.3731,0
SHP-001,SITE-001,2025-07-08T16:00:00,4.03,66.2,51.4956,12.0272,0
SHP-001,SITE-001,2025-07-09T00:00:00,5.49,62.9,51.5157,12.3363,0
SHP-001,SITE-001,2025-07-09T08:00:00,6.21,57.5,51.631,12.4744,0
SHP-001,SITE-001,2025-07-09T16:00:00,5.11,57.5,51.7048,12.6315,0
SHP-001,SITE-001,2025-07-10T00:00:00,4.19,69.1,52.0001,12.6695,0
SHP-001,SITE-001,2025-07-10T08:00:00,4.71,55.7,51.7961,12.972,0
SHP-001,SITE-001,2025-07-10T16:00:00,6.5,53.0,52.0067,13.0213,0
SHP-002,SITE-020,2025-07-05T00:00:00,5.62,64.9,50.0135,9.9358,0
SHP-002,SITE-020,2025-07-05T07:00:00,5.62,53.4,50.0615,10.2237,0
SHP-002,SITE-020,2025-07-05T14:00:00,3.45,59.8,50.0998,10.0786,0
SHP-002,SITE-020,2025-07-05T21:00:00,4.87,58.9,50.0493,10.1661,0
SHP-002,SITE-020,2025-07-06T05:00:00,2.1,52.9,50.232,10.2843,0
SHP-002,SITE-020,2025-07-06T12:00:00,6.49,63.0,50.1532,10.335,0
SHP-002,SITE-020,2025-07-06T19:00:00,2.77,56.9,50.2977,10.464,0
SHP-002,SITE-020,2025-07-07T02:00:00,5.61,51.2,50.383,10.4102,0
SHP-002,SITE-020,2025-07-07T10:00:00,4.2,69.6,50.4718,10.6685,0
SHP-002,SITE-020,2025-07-07T17:00:00,4.26,55.6,50.3977,10.8312,0
SHP-002,SITE-020,2025-07-08T00:00:00,2.41,47.0,50.4829,10.6172,0
SHP-002,SITE-020,2025-07-08T07:00:00,4.51,70.2,50.6144,10.7267,0
SHP-002,SITE-020,2025-07-08T15:00:00,6.27,45.9,50.607,10.9068,0
SHP-002,SITE-020,2025-07-08T22:00:00,4.76,44.1,50.615,10.9189,0
SHP-002,SITE-020,2025-07-09T05:00:00,3.59,46.9,50.6938,10.8053,0
SHP-002,SITE-020,2025-07-09T12:00:00,7.49,72.2,50.6511,11.1226,0
